Date,Code
6/19/2015,"Do you get along like two peas in a pod, or do you go at it like Siamese fighting fish? <a href=http://new.theastrologer.com/compatibility>Check the love match</a>!"
,
6/22/2015,Happy Birthday to Cancer! <a href=http://new.theastrologer.com/articles/about-cancer/3524>Find out what makes this sensitive sign tick</a>.
6/23/2015,"Find out more about your astrologer, <a href=http://new.theastrologer.com/about-kelli-fox>Kelli Fox</a>."
6/24/2015,Are you soul mates? See what the <a href=http://new.theastrologer.com/articles/soul-mates-consult-elements-zodiac/3051>zodiac has to say</a>.
6/25/2015,<a href=http://new.theastrologer.com/today>Get the Astro Weather</a> for today ... and everyday!
6/26/2015,Soulmate or stalemate? <a href=http://new.theastrologer.com/compatibility>Find out more...</a>
6/27/2015,"Don't worry, <a href=http://new.theastrologer.com/articles/lasting-happiness-zodiac-sign/6876>be happy</a>!"
6/28/2015,Plan your week accordingly ... <a href=http://new.theastrologer.com/weekly-horoscope>Get your Weekly Horoscope</a>.
6/29/2015,Can you have more than one soul mate? <a href=http://new.theastrologer.com/articles/eight-things-everyone-know-about-love/3063>Eight things everyone should know about love</a>.
6/30/2015,What's in store for July? Check out your <a href=http://new.theastrologer.com/monthly-horoscope>Monthly Horoscope</a>!
7/1/2015,"Attention: Aries, Cancer, Libra and Capricorn...this Full Moon will be one to remember. <a href=http://new.theastrologer.com/articles/full-moon-in-capricorn/15510 ?>Find out more...</a> "
7/2/2015,Is he into you? <a href=http://new.theastrologer.com/articles/secret-signals-zodiac-sign/6879>Learn the secret signals of his zodiac sign</a>.
7/3/2015,Consult the zodiac for your perfect look - <a href=http://new.theastrologer.com/articles/beauty-guide-sign/6997>check out the Beauty Guide</a>!
7/4/2015,Are You Psychic? <a href=http://new.theastrologer.com/articles/are-you-psychic/3022>Find out more...</a>
7/5/2015,Know what's in store for <a href=http://new.theastrologer.com/weekly-horoscope>the week ahead...</a>
7/6/2015,Is he 'the one' or just a fling? Look for <a href=http://new.theastrologer.com/articles/committed-long-term-love-signals/3055>these long term love signals</a>...
7/7/2015,Are you compatible with your mate? <a href=http://new.theastrologer.com/compatibility>Find out here</a>.
7/8/2015,Chatty Mercury moves into emotional Cancer. Find out <a href=http://new.theastrologer.com/articles/mercury-in-cancer/15872>what it means for you...</a>
7/9/2015,<a href=http://new.theastrologer.com/articles/win-heart-man/6924>Check out these love tips</a> to win the heart of any crush!
7/10/2015,Explore the world of astrology with the <a href=http://new.theastrologer.com/astrology-glossary>Astrology Glossary</a>. 
7/11/2015,Lovers or fighters? <a href=http://new.theastrologer.com/compatibility>Get the scoop with your compatibility</a>.
7/12/2015,Start the week off right with <a href=http://new.theastrologer.com/weekly-horoscope>your weekly horoscope</a>!
7/13/2015,What to learn more about astrology? <a href=http://new.theastrologer.com/astrology-glossary>Check out the Astrology Glossary...</a>
7/14/2015,"Find out more about your astrologer, <a href=http://new.theastrologer.com/about-kelli-fox>Kelli Fox</a>."
7/15/2015,It's a New Moon in Cancer which is a great time for new beginnings. <a href=http://new.theastrologer.com/articles/new-moon-in-cancer/15513>Find out more</a>...
